起始时间：2017/3/9 14:06:42
时间(s)	x甲醛
14:16:29	5.6200	
14:16:30	5.6500	
14:16:32	5.7000	
14:16:33	5.8100	
14:16:35	5.9100	
14:16:37	5.9300	
14:16:38	5.9600	
14:16:40	5.9400	
14:16:41	5.9300	
14:16:43	5.8400	
14:16:45	5.8000	
14:16:46	5.8200	
14:16:48	5.8400	
14:16:49	5.9500	
14:16:51	5.9300	
14:16:53	5.8700	
14:16:54	5.7800	
14:16:56	5.7200	
14:16:57	5.6800	
14:16:59	5.6500	
14:17:01	5.5700	
14:17:02	5.5900	
14:17:04	5.7400	
14:17:05	5.8200	
14:17:07	5.7800	
14:17:09	5.6400	
14:17:10	5.5100	
14:17:12	5.4900	
14:17:13	5.5200	
14:17:15	5.6200	
14:17:17	5.8100	
14:17:18	6.0000	
14:17:20	6.0400	
14:17:21	6.0200	
14:17:23	5.9300	
14:17:25	5.7700	
14:17:26	5.7900	
14:17:28	5.8300	
14:17:29	5.8100	
14:17:31	5.7700	
14:17:33	5.6900	
14:17:34	5.6100	
14:17:36	5.5600	
14:17:37	5.5900	
14:17:39	5.5300	
14:17:41	5.4800	
14:17:42	5.4500	
14:17:44	5.4500	
14:17:45	5.4800	
14:17:47	5.5700	
14:17:49	5.6500	
14:17:50	5.6700	
14:17:52	5.6800	
14:17:53	5.6500	
14:17:55	5.5200	
14:17:57	5.4100	
14:17:58	5.3400	
14:18:00	5.2900	
14:18:01	5.2800	
14:18:03	5.3900	
14:18:05	5.6000	
14:18:06	5.7600	
14:18:08	5.7600	
14:18:09	5.6800	
14:18:11	5.5800	
14:18:13	5.3900	
14:18:14	5.2200	
14:18:16	5.0400	
14:18:17	4.9400	
14:18:19	4.9100	
14:18:21	4.8700	
14:18:22	4.8200	
14:18:24	4.7900	
14:18:25	4.7600	
14:18:27	4.7500	
14:18:29	4.7800	
14:18:30	4.8700	
14:18:32	4.9400	
14:18:33	4.9500	
14:18:35	5.0200	
14:18:37	5.1400	
14:18:38	5.2300	
14:18:40	5.2900	
14:18:41	5.2400	
14:18:43	5.1700	
14:18:45	5.0100	
14:18:46	4.9700	
14:18:48	4.9500	
14:18:49	4.9400	
14:18:51	4.9100	
14:18:53	4.8600	
14:18:54	4.8400	
14:18:56	4.8000	
14:18:57	4.8400	
14:18:59	4.9500	
14:19:01	5.1000	
14:19:02	5.2800	
14:19:04	5.3500	
14:19:05	5.3200	
14:19:07	5.3900	
14:19:09	5.3500	
14:19:10	5.3000	
14:19:12	5.2400	
14:19:13	5.2200	
14:19:15	5.1600	
14:19:17	5.1000	
14:19:18	5.2300	
14:19:20	5.3100	
14:19:21	5.3000	
14:19:23	5.2300	
14:19:25	5.2100	
14:19:26	5.2400	
14:19:28	5.2700	
14:19:29	5.3000	
14:19:31	5.3800	
14:19:33	5.4300	
14:19:34	5.3200	
14:19:36	5.2600	
14:19:37	5.2300	
14:19:39	5.2200	
14:19:41	5.1800	
14:19:42	5.1900	
14:19:44	5.1600	
14:19:45	5.1800	
14:19:47	5.2700	
14:19:49	5.3400	
14:19:50	5.3800	
14:19:52	5.4600	
14:19:53	5.5500	
14:19:55	5.7000	
14:19:57	5.7300	
14:19:58	5.5900	
14:20:00	5.5800	
14:20:01	5.6200	
14:20:03	5.6600	
14:20:05	5.6400	
14:20:06	5.6000	
14:20:08	5.5600	
14:20:09	5.5400	
14:20:11	5.4900	
14:20:13	5.5000	
14:20:14	5.5000	
14:20:16	5.5000	
14:20:17	5.5200	
14:20:19	5.5200	
14:20:21	5.5200	
14:20:22	5.4800	
14:20:24	5.3500	
14:20:25	5.2700	
14:20:27	5.2300	
14:20:29	5.2900	
14:20:30	5.4000	
14:20:32	5.3500	
14:20:33	5.2000	
14:20:35	5.1200	
14:20:37	5.1800	
14:20:38	5.2200	
14:20:40	5.3100	
14:20:41	5.3200	
14:20:43	5.2400	
14:20:45	5.2000	
14:20:46	5.1900	
14:20:48	5.3100	
14:20:49	5.4400	
14:20:51	5.5100	
14:20:53	5.6300	
14:20:54	5.7300	
14:20:56	5.7200	
14:20:57	5.5500	
14:20:59	5.3500	
14:21:01	5.2100	
14:21:02	5.0300	
14:21:04	4.9800	
14:21:05	4.9900	
14:21:07	5.0900	
14:21:09	5.2900	
14:21:10	5.3600	
14:21:12	5.3900	
14:21:13	5.3700	
14:21:15	5.3500	
14:21:17	5.3200	
14:21:18	5.3500	
14:21:20	5.3700	
14:21:21	5.4600	
14:21:23	5.5600	
14:21:25	5.6000	
14:21:26	5.5900	
14:21:28	5.6100	
14:21:29	5.5500	
